Instance,Submission Date,Submitter,Lat,Long,UniqueCode,District,14273350|Interviewee,School_Name,14273351|What kind of public institution is this?,Category,Type,14283355|Photo of Water Point,Improved_Water,14274381|What is the type of the water point/system?,14282353|What is the type of the water point?,14276355|Does the public institution have its own water point or does it share one with the community?,14274384|How many student/patients/patrons/staff use this water point/system?,14281365|Do any other community members use this water point/system?,14279375|How many additional community members use this water point/system?,14278375|What year was the water point/system constructed or rehabilitated?,14286350|Is the water point part of a Water For People supported project?,14275349|What role did Water For People play?,Enough_Water,14282355|Why doesn't the source provide enough water every day?,14283361|What months are there shortages?,14286354|How many hours a day is water available?,14277350|Is any water treatment done at the water point/system?,14280335|What water treatment is being done?,14282359|Has the water system been down for more than 1 day in the last 30 days (except for routine maintenance)?,14281370|How many days did it take to get it repaired?,14276364|Why was the system down for more than 1 day?,14273360|Have any major repairs been completed on the point/system in the past year?,14274390|What was repaired/replaced?,14275352|How much did the repairs cost?,14273361|Are there any current problems with the system that require attention?,14284364|What is the current problem?,14285366|Is water available from the system on the day of the visit?,14282364|Why isn't water available from the system on the day of the visit?,14276370|Was the Residual Chlorine within the permissible limit?,14285370|Residual Chlorine,14286366|Does the quantity of water available on the day of the visit meet government standards?,14237503|Why is there an inadequate amount of water?,14280345|Where does the money come from to operate and maintain the water point/system?,14281378|Photo of Sanitation Technology,14274397|Does the public institution have an improved sanitation facility?,14281379|What is the type of the improved sanitation technology?,14278388|What type of unimproved sanitation does the public institution use?,14273370|In what year was the sanitation technology implemented?,14278389|How many latrines are there for girls?,14276373|How many urinals are there for girls?,14237506|How many latrines are there for boys?,14273371|How many urinals are there for boys?,14281380|How many unisex latrines are there?,14279392|Is there evidence that the latrines are being used?,Funtioning_Optimally,14275367|What are the current problems?,Clean,Water_available,Soap_Available,14286373|When do you wash your hands with soap or other cleansing agent?,14281382|Is this a secondary school?,14284374|Is there any changing room attached with the sanitation block?,14286375|Is there any incinerator attached with the changing room?,Sanitary_Napkin,14274402|Is there utensil washing station available?,14277363|Is there any bathing enclosure in the toilet block or school?
20221978,05-09-2013 10:07:44 UTC,null,21.82973063,88.42503168,ruuead7e,South 24 Parganas,Umapadha Maity,Kamdevpur J. R.Basik school,School,Co-education,Primary,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto719989257815.jpg,Yes,PHE 6 Handpump,,Shares the community water point/system,115,No,,2003,No,,Yes,,,,No,,No,,,No,,,Yes,Poor Water Quality|Low Water Flow,Yes,,Not Applicable,,No,Long Down Times,Community Water Committee,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto587352447513.jpg,Yes,Pour Flush Latrine,,2007,1,1,1,1,0,Yes,No,,No,Yes,Yes,After Defecating|After Eating|Before Eating,No,,,,No,
20619112,13-09-2013 10:49:59 UTC,null,21.74272681,88.11270689,rquhxo87,South 24 Parganas,joydeb das,khansaheb abad high scool,School,Co-education,Non-Primary,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto3758819673269.jpg,Yes,Gravity Fed System with Pump,,Has its own water point/system,1628,No,,2012,No,,Yes,,,,No,,No,,,No,,,No,,Yes,,Not Applicable,,Yes,,School Budget,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto3786075990407.jpg,Yes,Improved Pit Latrine,,2010,6,4,2,4,0,Yes,Yes,Structural Problems,Yes,Yes,Yes,After Defecating|After Eating|Before Cooking|Before Eating|After Handling Livestock,Yes,Yes,Yes,Yes,Yes,Yes
20620493,12-09-2013 07:46:49 UTC,ss sagar samir maity,21.8432491,88.11919592,rvgqmx47,South 24 Parganas,susanta giri,pakhirala adhar baikuntha f.p.school,School,Co-education,Primary,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto36349426063632.jpg,Yes,PHE 6 Handpump,,Shares the community water point/system,134,Yes,150,1992,No,,Yes,,,,No,,No,,,No,,,Yes,Low Water Flow,Yes,,Not Applicable,,No,Long Down Times,School Budget|Government,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto36297523475741.jpg,Yes,Improved Pit Latrine,,2011,1,1,1,1,0,Yes,Yes,No Water to Flush Latrine|Structural Problems,Yes,No,No,After Defecating|After Eating|Before Cooking|Before Eating,No,,,,No,
20339226,13-09-2013 09:42:26 UTC,NAIHATI PROLIFE,23.11263312,88.63112747,ths2ucbr,Nadia,Monoj Kr. Biswas,Anantapir High School,School,Co-education,Non-Primary,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto965919506930.jpg,Yes,Gravity Fed System with Pump,,Has its own water point/system,325,No,,2011,Yes,Technical Advice|Hardware|Software/Capacity Building/Training|Finance,Yes,,,,No,,No,,,No,,,No,,Yes,,Not Applicable,,Yes,,School Budget|Government,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto996004254244.jpg,Yes,Flush Toilet,,2011,3,2,2,4,0,Yes,No,,No,Yes,Yes,After Defecating|After Eating|Before Cooking|Before Eating,Yes,Yes,Yes,Yes,Yes,No
39840315,28-01-2014 10:32:37 UTC,Sarboay-Sutahata,22.16001738,88.1290461,sa0maytm,East Medinipur,Tarapada Panda,Agadoro Madhyamik Siksha Kendra,School,Co-education,Non-Primary,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto10600192474499.jpg,Yes,Mark II,,Has its own water point/system,184,Yes,200,2003,No,,Yes,,,,No,,No,,,No,,,No,,Yes,,Not Applicable,,Yes,,School Budget,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto10693899047985.jpg,Yes,Improved Pit Latrine,,2010,2,3,2,4,0,Yes,Yes,No Water to Flush Latrine|Latrine is Full|Structural Problems,No,No,Yes,After Defecating|After Eating|Before Eating,Yes,No,No,No,No,No
20620491,12-09-2013 07:08:48 UTC,ss sagar samir maity,21.8432491,88.11919592,rvgqmx47,South 24 Parganas,anupan das,sapkhali dwarikanath f.p. school,School,Co-education,Primary,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto34579705940345.jpg,Yes,Mark II,,Has its own water point/system,141,No,,2013,No,,Yes,,,,No,,No,,,No,,,No,,Yes,,Not Applicable,,Yes,,School Budget,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto34597927284339.jpg,Yes,Improved Pit Latrine,,2012,1,3,1,2,0,Yes,No,,Yes,No,Yes,After Defecating|After Eating|Before Cooking|Before Eating,No,,,,No,
20636081,06-09-2013 13:52:53 UTC,null,21.71695309,88.35435856,rpnvno5z,South 24 Parganas,Tapas Kr. Bera,Brajaballavpur Jn. Basic School,School,Co-education,Primary,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto5841486908581.jpg,Yes,Mark II,,Shares the community water point/system,190,Yes,150,2008,No,,Yes,,,,No,,No,,,No,,,No,,Yes,,Not Applicable,,Yes,,School Budget,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto5861748779919.jpg,Yes,Improved Pit Latrine,,2013,1,1,1,1,0,Yes,No,,No,No,No,After Defecating|Before Eating,No,,,,No,
20642100,12-09-2013 11:39:11 UTC,null,21.7924172,88.34641221,rt4ocmyw,South 24 Parganas,Bratati Giri,Madhabnagar Uttarpara F.P School,School,Co-education,Primary,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto5198469422507.jpg,Yes,Tara Direct Action Pump,,Has its own water point/system,55,No,,2004,No,,Yes,,,,No,,No,,,No,,,Yes,Damaged Platfrom,Yes,,Not Applicable,,Yes,,School Budget,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto5165996583150.jpg,Yes,Pour Flush Latrine,,2009,1,1,1,1,1,Yes,No,,No,No,No,After Defecating|Before Eating,No,,,,No,
20116661,15-09-2013 12:23:47 UTC,Manikjore,21.99480503,87.62057529,s2fe4hpp,East Medinipur,Salil Pahari.,Pania Saradabar Ramkrishna Siksha Sadan.,School,Co-education,Non-Primary,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto14462187371743.jpg,Yes,Gravity Fed System with Pump,,Has its own water point/system,455,No,,2007,Yes,Technical Advice|Hardware|Software/Capacity Building/Training|Finance,Yes,,,,No,,Yes,3,Power problem,No,,,No,,Yes,,Not Applicable,,Yes,,PTA/WATSAN fund,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto14540481774866.jpg,Yes,Pour  Flush Toilet with Septic Tank,,2007,2,4,2,6,0,Yes,No,,Yes,Yes,Yes,After Defecating|After Eating|Before Cooking|Before Eating,Yes,Yes,Yes,Yes,No,Yes
19496049,21-08-2013 08:21:40 UTC,Denise Kahofer  Xylem,21.75710025,87.73047586,rria2x6g,East Medinipur,Manishi Ranjan Giri,Kulaipadima High School,School,Co-education,Non-Primary,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto1104741851428.jpg,Yes,Gravity Fed System with Pump,,Has its own water point/system,406,Yes,500,2012,Yes,Technical Advice|Hardware|Software/Capacity Building/Training|Finance,Yes,,,,Yes,Chlorination,No,,,Yes,Submersible motor was burned,32000,No,,Yes,,Yes,0,Yes,,School Budget|PTA/WATSAN fund,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto643730163197.jpg,Yes,Pour  Flush Toilet with Septic Tank,,2012,1,4,1,4,0,Yes,Yes,Soak pit leaking,No,Yes,Yes,After Defecating|After Eating|Before Eating|After playing,Yes,Yes,Yes,Yes,Yes,No
